Object ID,Compound,Pathways of compound,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity
CTP,CTP,"CMP phosphorylation // salvage pathways of pyrimidine ribonucleotides // UTP and CTP <i>de novo</i> biosynthesis // superpathway of pyrimidine nucleobases salvage // superpathway of pyrimidine ribonucleosides salvage // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis II // superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // cytidylyl molybdenum cofactor biosynthesis // methylerythritol phosphate pathway I // CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis // superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis // coenzyme A biosynthesis I (bacteria) // superpathway of coenzyme A biosynthesis I (bacteria)",Pyrimidine Nucleotide Salvage // Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis // Superpathways // Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Metabolic Clusters // CDP-diacylglycerol Biosynthesis // Phospholipid Biosynthesis // Molybdenum-Containing Cofactor Biosynthesis // Methylerythritol Phosphate Pathways // CMP-3-deoxy-D-<I>manno</I>-octulosonate Biosynthesis // Fatty Acid and Lipid Biosynthesis // Lipopolysaccharide Biosynthesis // Coenzyme A Biosynthesis // Vitamin Biosynthesis,"Pyrimidine Nucleotide Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // Pathways // 2'-Deoxyribonucleotide Biosynthesis // Phospholipid Biosynthesis // Fatty Acid and Lipid Biosynthesis // Enzyme Cofactor Biosynthesis // Isopentenyl Diphosphate Biosynthesis // CMP-sugar Biosynthesis // Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis","Nucleoside and Nucleotide Biosynthesis // Pyrimidine Nucleotide Biosynthesis // All Pathways and Reactions // Fatty Acid and Lipid Biosynthesis // Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // Hemiterpene Biosynthesis // Sugar Nucleotide Biosynthesis // Pathways",Biosynthesis // Nucleoside and Nucleotide Biosynthesis // FRAMES // Pathways // Terpenoid Biosynthesis // Sugar Biosynthesis // All Pathways and Reactions,Pathways // Biosynthesis // THINGS // All Pathways and Reactions // Secondary Metabolite Biosynthesis // Carbohydrate Biosynthesis // FRAMES,All Pathways and Reactions // Pathways //  // FRAMES // Biosynthesis // THINGS
CU+2,Cu<SUP>2+</SUP>,,,,,,,
DADP,dADP,"adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis",Adenosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Superpathways,Purine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Pathways,2'-Deoxyribonucleotide Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions,Nucleoside and Nucleotide Biosynthesis // Purine Nucleotide Biosynthesis // Biosynthesis // FRAMES,Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Pathways // THINGS,Pathways // Biosynthesis // All Pathways and Reactions // 
DAMP,dAMP,,,,,,,
DIAMINONONANOATE,"(7<i>R</i>,8<i>S</i>)-diaminononanoate",biotin biosynthesis from 8-amino-7-oxononanoate I // biotin biosynthesis I,Biotin Biosynthesis // Superpathways,Enzyme Cofactor Biosynthesis // Pathways,"Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions",Biosynthesis // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
DATP,dATP,"adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis",Adenosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Superpathways,Purine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Pathways,2'-Deoxyribonucleotide Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions,Nucleoside and Nucleotide Biosynthesis // Purine Nucleotide Biosynthesis // Biosynthesis // FRAMES,Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Pathways // THINGS,Pathways // Biosynthesis // All Pathways and Reactions // 
T2-DECENOYL-COA,(2E)-dec-2-enoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
ADENYLOSUCC,adenylosuccinate,"adenosine ribonucleotides <i>de novo</i> biosynthesis // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis",Purine Riboucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Superpathways,Purine Nucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Pathways,Purine Nucleotide Biosynthesis // Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions,Nucleoside and Nucleotide Biosynthesis // Biosynthesis // FRAMES,Biosynthesis // Pathways // THINGS,Pathways // All Pathways and Reactions // 
DCTP,dCTP,pyrimidine deoxyribonucleotide phosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // pyrimidine deoxyribonucleotides dephosphorylation,Metabolic Clusters // Pyrimidine Nucleotide Salvage // Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Superpathways // Pyrimidine Deoxyribonucleoside Degradation,Pathways // Pyrimidine Nucleotide Biosynthesis // 2'-Deoxyribonucleotide Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // Pyrimidine Nucleotide Degradation,All Pathways and Reactions // Nucleoside and Nucleotide Biosynthesis // Pyrimidine Nucleotide Biosynthesis // Nucleoside and Nucleotide Degradation,FRAMES // Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Degradation/Utilization/Assimilation,THINGS // Pathways // Biosynthesis, // All Pathways and Reactions // Pathways
CPD-7222,(2<i>E</i>)-dodec-2-enoyl-CoA,oleate &beta;-oxidation,Fatty Acid Degradation,Fatty Acid and Lipid Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions,FRAMES
LAUROYLCOA-CPD,lauroyl-CoA,,,,,,,
DGTP,dGTP,"guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis",Guanosine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Superpathways,Purine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Pathways,2'-Deoxyribonucleotide Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions,Nucleoside and Nucleotide Biosynthesis // Purine Nucleotide Biosynthesis // Biosynthesis // FRAMES,Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Pathways // THINGS,Pathways // Biosynthesis // All Pathways and Reactions // 
DIHYDROXYACETONE,dihydroxyacetone,glycerol degradation V,Glycerol Degradation,Alditol Degradation,Alcohol Degradation // Carbohydrate Degradation,Degradation/Utilization/Assimilation,Pathways,All Pathways and Reactions
DIHYDROXY-ACETONE-PHOSPHATE,glycerone phosphate,"L-fucose degradation I // L-rhamnose degradation I // superpathway of fucose and rhamnose degradation // D-arabinose degradation II // galactitol degradation // glycolysis I (from glucose 6-phosphate) // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glycolysis and the Entner-Doudoroff pathway // glycolysis II (from fructose 6-phosphate) // superpathway of hexitol degradation (bacteria) // gluconeogenesis I // CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis II // superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // glycerol degradation V // sedoheptulose bisphosphate bypass // sulfoquinovose degradation I // autoinducer AI-2 degradation // glycerol-3-phosphate to hydrogen peroxide electron transport // glycerol-3-phosphate to fumarate electron transfer // nitrate reduction IX (dissimilatory) // <i>sn</i>-glycerol 3-phosphate anaerobic respiration // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // glycerophosphodiester degradation // glycerol degradation I // glycerol and glycerophosphodiester degradation // NAD <i>de novo</i> biosynthesis I // aspartate superpathway",L-Fucose Degradation // L-rhamnose Degradation // Superpathways // D-arabinose Degradation // Alditol Degradation // Glycolysis // Generation of Precursor Metabolites and Energy // Gluconeogenesis // CDP-diacylglycerol Biosynthesis // Phospholipid Biosynthesis // Glycerol Degradation // Sulfoquinovose Degradation // Secondary Metabolite Degradation // Electron Transfer Chains // Anaerobic Respiration // Nitrate Reduction // Aerobic Respiration // NAD Biosynthesis,Sugar Degradation // Pathways // Alcohol Degradation // Carbohydrate Degradation // Generation of Precursor Metabolites and Energy // Sugar Biosynthesis // Phospholipid Biosynthesis // Fatty Acid and Lipid Biosynthesis // Alditol Degradation // Degradation/Utilization/Assimilation // Respiration // Nitrogen Compound Metabolism // Enzyme Cofactor Biosynthesis // NAD Metabolism,"Carbohydrate Degradation // All Pathways and Reactions // Degradation/Utilization/Assimilation // Pathways // Carbohydrate Biosynthesis // Fatty Acid and Lipid Biosynthesis // Biosynthesis // Alcohol Degradation // Generation of Precursor Metabolites and Energy // Inorganic Nutrient Metabolism // Cofactor, Carrier, and Vitamin Biosynthesis // Electron Carrier Biosynthesis // Enzyme Cofactor Biosynthesis","Degradation/Utilization/Assimilation // FRAMES // Pathways // All Pathways and Reactions // Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis","Pathways // THINGS // All Pathways and Reactions // FRAMES // Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis",All Pathways and Reactions //  // FRAMES // THINGS // Biosynthesis // Pathways
DIHYDROFOLATE,"7,8-dihydrofolate monoglutamate",tetrahydrofolate biosynthesis I // superpathway of tetrahydrofolate biosynthesis // superpathway of chorismate metabolism,Folate Biosynthesis // Superpathways,Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Pathways,"Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // FRAMES",Biosynthesis // Pathways // THINGS,Pathways // All Pathways and Reactions // 
CPD-12279,2-iminoacetate,thiazole component of thiamine diphosphate biosynthesis I // superpathway of thiamine diphosphate biosynthesis I,Thiazole Biosynthesis // Superpathways // Thiamine Biosynthesis,Thiamine Biosynthesis // Pathways // Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis,"Enzyme Cofactor Biosynthesis // Vitamin Biosynthesis // All Pathways and Reactions // Cofactor, Carrier, and Vitamin Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // FRAMES // Biosynthesis",Biosynthesis // THINGS // Pathways,Pathways //  // All Pathways and Reactions
DIHYDRONEOPTERIN-P,"7,8-dihydroneopterin 3'-phosphate",6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // superpathway of tetrahydrofolate biosynthesis // superpathway of chorismate metabolism,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis // Folate Biosynthesis // Superpathways,Other Biosynthesis // Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Pathways,"Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions","Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // FRAMES",All Pathways and Reactions // Biosynthesis // Pathways // THINGS,FRAMES // Pathways // All Pathways and Reactions // 
7-8-DIHYDROPTEROATE,"7,8-dihydropteroate",tetrahydrofolate biosynthesis I // superpathway of tetrahydrofolate biosynthesis // superpathway of chorismate metabolism,Folate Biosynthesis // Superpathways,Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Pathways,"Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // FRAMES",Biosynthesis // Pathways // THINGS,Pathways // All Pathways and Reactions // 
DIMETHYL-D-RIBITYL-LUMAZINE,"6,7-dimethyl-8-(1-D-ribityl)lumazine",flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis,Electron Carrier Biosynthesis // Enzyme Cofactor Biosynthesis,"Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis",Biosynthesis // Pathways,Pathways // All Pathways and Reactions
DEAMIDO-NAD,nicotinate adenine dinucleotide,NAD salvage pathway II (PNC IV cycle) // NAD salvage pathway I (PNC VI cycle) // NAD <i>de novo</i> biosynthesis I // aspartate superpathway,NAD Biosynthesis // Superpathways,Enzyme Cofactor Biosynthesis // NAD Metabolism // Pathways,"Cofactor, Carrier, and Vitamin Biosynthesis // Electron Carrier Biosynthesis // Enzyme Cofactor Biosynthesis // All Pathways and Reactions","Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // FRAMES","Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // THINGS",All Pathways and Reactions // Biosynthesis // Pathways // 
DEPHOSPHO-COA,3'-dephospho-CoA,citrate lyase activation // coenzyme A biosynthesis I (bacteria) // superpathway of coenzyme A biosynthesis I (bacteria),Carrier Biosynthesis // Coenzyme A Biosynthesis // Superpathways // Vitamin Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis // Carrier Biosynthesis // Pathways","Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions",Pathways // Biosynthesis // FRAMES,All Pathways and Reactions // Pathways // THINGS,FRAMES // All Pathways and Reactions // 
DIHYDROSIROHYDROCHLORIN,precorrin-2,siroheme biosynthesis,Porphyrin Compound Biosynthesis,Tetrapyrrole Biosynthesis,Biosynthesis,Pathways,All Pathways and Reactions,FRAMES
DETHIOBIOTIN,dethiobiotin,biotin biosynthesis from 8-amino-7-oxononanoate I // biotin biosynthesis I,Biotin Biosynthesis // Superpathways,Enzyme Cofactor Biosynthesis // Pathways,"Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions",Biosynthesis // FRAMES,Pathways // THINGS,All Pathways and Reactions // 
TTP,dTTP,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // pyrimidine deoxyribonucleotide phosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>) // dTDP-&beta;-L-rhamnose biosynthesis // <i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>) // dTDP-<i>N</i>-acetylthomosamine biosynthesis // superpathway of enterobacterial common antigen biosynthesis,Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Metabolic Clusters // Pyrimidine Nucleotide Salvage // Superpathways // dTDP-sugar Biosynthesis // Sugar Nucleotide Biosynthesis // Polysaccharide Biosynthesis,2'-Deoxyribonucleotide Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis // Pathways // Pyrimidine Nucleotide Biosynthesis // Sugar Nucleotide Biosynthesis // Sugar Biosynthesis // Carbohydrate Biosynthesis // Glycan Pathways,Nucleoside and Nucleotide Biosynthesis // Pyrimidine Nucleotide Biosynthesis // All Pathways and Reactions // Sugar Biosynthesis // Carbohydrate Biosynthesis // Biosynthesis // Pathways,Biosynthesis // Nucleoside and Nucleotide Biosynthesis // FRAMES // Carbohydrate Biosynthesis // Pathways // All Pathways and Reactions,Pathways // Biosynthesis // THINGS // All Pathways and Reactions // FRAMES,All Pathways and Reactions // Pathways //  // FRAMES // THINGS
DUMP,dUMP,salvage pathways of pyrimidine deoxyribonucleotides // pyrimidine deoxyribonucleotides dephosphorylation // folate transformations III (<i>E. coli</i>) // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>),Pyrimidine Nucleotide Salvage // Metabolic Clusters // Pyrimidine Deoxyribonucleoside Degradation // Folate Transformations // Pyrimidine Deoxyribonucleotide <i>De Novo</i> Biosynthesis // Superpathways,Pyrimidine Nucleotide Biosynthesis // Pathways // Pyrimidine Nucleotide Degradation // Folate Biosynthesis // 2'-Deoxyribonucleotide Biosynthesis // Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis,Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions // Nucleoside and Nucleotide Degradation // Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Pyrimidine Nucleotide Biosynthesis,"Biosynthesis // FRAMES // Degradation/Utilization/Assimilation // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // Nucleoside and Nucleotide Biosynthesis","Pathways // THINGS // Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis",All Pathways and Reactions //  // Biosynthesis // Pathways
